,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,BANK1,LYZ,LEF1,CCL5,PRF1,GNLY,IL7R,GNLY,PDE3B,CCL5,FCN1,GAB2,BANK1,NAMPT,IKZF2,COTL1,BANK1,PRKCH,GNLY,IL7R,IGLV4-69,GNLY,UGCG,COTL1,GAB2,CSF2RB,CDK6
1,AFF3,FCN1,PRKCA,FYN,CD247,CCL5,INPP4B,NKG7,LEF1,CD8A,PSAP,HDC,MS4A1,SORL1,PLCL1,PSAP,AFF3,SYNE2,CCL5,PHACTR2,LYZ,NCALD,TCF4,HLA-DRA,TBXAS1,HDC,ETV6
2,FCRL1,VCAN,IL6ST,PRKCH,KLRF1,NKG7,LTB,CCL5,NELL2,TRBV7-9,CTSS,GATA2,RALGPS2,CSF3R,LDLRAD4,LYN,MS4A1,CD247,NKG7,KLRB1,VCAN,ATP8B4,CCDC50,HLA-DRB1,PSAP,FRY,DACH1
3,BACH2,PLXDC2,FHIT,PIK3R1,NKG7,IL32,CDC14A,CD8A,CAMK4,CBLB,PLXDC2,RUNX1,AFF3,IFITM2,ENSG00000289707,FCGR3A,RALGPS2,ITK,IKZF2,SLC4A10,MZB1,NCAM1,APP,CST3,RAB31,GAB2,ZMIZ1
4,IGHM,PSAP,CAMK4,CBLB,AOAH,IL7R,ANK3,PRF1,OXNAD1,IL32,LYZ,CSF2RB,ARHGAP24,S100A9,CAMK4,CTSS,HLA-DRA,CCL5,PRF1,NKG7,JCHAIN,CTSW,IRF8,HLA-DPA1,CST3,TBXAS1,ANKRD28
5,LINC00926,CTSS,TCF7,CD8A,KLRD1,SYNE1,CAMK4,GZMH,TCF7,FYN,CYBB,LINC02458,HLA-DRA,FCGR3B,IL2RA,SAT1,FCRL1,SYNE1,KLRK1,PRF1,IFI30,SELL,RUNX2,HLA-DPB1,NEAT1,JAK2,SSBP2
6,MS4A1,APLP2,OXNAD1,SYNE2,GZMB,MYBL1,PAG1,SYNE1,IL7R,THEMIS,SLC8A1,FRY,OSBPL10,SLC25A37,ENSG00000273118,TCF7L2,CD79A,BCL11B,KLRD1,FYN,EGR1,TXK,ENSG00000225885,CIITA,CTSS,LINC02458,ERG
7,RALGPS2,SLC8A1,PDE3B,STAT4,MCTP2,RORA,ITK,KLRD1,ITK,SYNE2,NCF2,AKAP12,CD79A,ACSL1,BCL11B,LST1,CD37,NKG7,ITGB1,DUSP2,TNFRSF17,KLRD1,FCHSD2,LYZ,ATP8B4,SYTL3,ITGA9
8,CD79A,NCF2,INPP4B,DUSP2,IL2RB,SYNE2,BCL11B,CST7,TXK,CD8B,APLP2,JAK2,WDFY4,IGF2R,IL32,SERPINA1,ARHGAP24,RORA,SYNE2,SYNE2,IGHV3-33,KLRF1,BCL11A,FGL2,SLC8A1,ATP8B4,DAPK1
9,HLA-DRA,CYBB,TXK,IL32,CST7,GZMH,RCAN3,ITGB1,CCR7,NKG7,IRAK3,SLC24A3,EBF1,S100A8,LEF1,SPI1,LINC00926,FYN,SYNE1,IL32,S100A9,ITGAX,LINC01374,HLA-DRB5,JAK2,SLC24A3,IGF2BP2
